Timestamp,Are you interested in contributing your thoughts on gesture-based interaction in mobile applications?,Age group,Gender,Industry,How many hours per day do you use a smartphone?,Have you used gesture-based features on your mobile device?,Which gesture types are you familiar with?  ,Which mobile apps do you frequently use that involve gestures?  ,"On average, how frequently do you use symbolic gestures to perform actions on your phone?  ",Do you think gestures make mobile apps easier to use?  ,Have you ever disabled gesture features due to confusion or difficulty?  ,How long did it take you to learn using gesture-based controls when first introduced?  ,"Would you like to see more advanced gesture-based controls in future apps (e.g., 3D gestures, eye tracking)?  ",What platform do you think supports gestures best?  ,Do you think AI should personalize gesture-based features for each user?  ,Would you be open to gesture-only apps with no visible buttons?,What gesture feature would you like to see in future mobile apps?  ,Any additional comments or suggestions about gesture-based interaction?
7/4/2025 9:26,No,,,,,,,,,,,,,,,,,
7/4/2025 9:29,"Yes, I'm interested",25–34,Male,Information Technology / Software,Less than 1 hour,Yes,"Swipe (Left/Right/Up/Down), Long Press, Drag",Games,Rarely,Agree,No,A few minutes,Yes,Android,Yes,No,eye based gestures,
7/4/2025 9:48,"Yes, I'm interested",18–24,Male,Information Technology / Software,3–5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down)","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera)",Sometimes,Strongly Agree,Yes,A few minutes,Yes,Android,Yes,Only for specific apps,eye tracker,sometimes guestures put me in troubles.. most of the times those are voice controls
7/4/2025 9:54,"Yes, I'm interested",25–34,Female,Healthcare / Medical Technology,1–3 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Long Press, Drag","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Often,Agree,Yes,A few hours,Yes,Both equally,No,No,,
7/4/2025 10:16,No,,,,,,,,,,,,,,,,,
7/4/2025 10:17,"Yes, I'm interested",25–34,Female,Information Technology / Software,More than 5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Pinch-to-Zoom, Long Press, Drag, Air Gestures (without touching), Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera)",Sometimes,Agree,Yes,A few hours,Yes,iOS,Yes,No,,
7/4/2025 10:23,"Yes, I'm interested",18–24,Male,Information Technology / Software,3–5 hours,Yes,"Tap, Swipe (Left/Right/Up/Down), Pinch-to-Zoom, Long Press, Drag, Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Always,Strongly Agree,No,Instantly,Maybe,Not sure,No,Only for specific apps,,
7/4/2025 13:02,"Yes, I'm interested",25–34,Male,Media / Design / Creative Technology,More than 5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Pinch-to-Zoom, Long Press","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Always,Strongly Agree,Yes,A few minutes,Yes,Both equally,No,Only for specific apps,,
7/4/2025 13:50,"Yes, I'm interested",18–24,Female,Student (Any field),More than 5 hours,Not sure,Tap,"Social Media (e.g., Instagram, TikTok)",Always,Neutral,Yes,A few minutes,Maybe,Android,Yes,No,I haven't idea ,No
7/6/2025 12:45,"Yes, I'm interested",18–24,Female,Student (Any field),3–5 hours,Not sure,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Often,Agree,Yes,A few minutes,Yes,Android,Yes,Only for specific apps,,
7/6/2025 13:02,"Yes, I'm interested",35–44,Male,Driving,1–3 hours,Not sure,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Long Press, Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Often,Strongly Agree,Yes,A few hours,Maybe,Not sure,Yes,Only for specific apps,,
7/6/2025 15:58,"Yes, I'm interested",25–34,Male,Information Technology / Software,More than 5 hours,Not sure,Swipe (Left/Right/Up/Down),"Social Media (e.g., Instagram, TikTok), Games",Sometimes,Neutral,No,A few minutes,Yes,Both equally,Yes,Only for specific apps,,
7/6/2025 16:54,"Yes, I'm interested",25–34,Female,Information Technology / Software,More than 5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Pinch-to-Zoom, Long Press, Drag","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera)",Sometimes,Agree,Yes,Instantly,Yes,Not sure,Yes,Only for specific apps,,
7/6/2025 18:47,"Yes, I'm interested",18–24,Male,Education / Research,More than 5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Long Press, Drag, Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera)",Sometimes,Neutral,Yes,Instantly,No,Not sure,No,Yes,,
7/6/2025 18:50,"Yes, I'm interested",18–24,Male,Information Technology / Software,3–5 hours,Yes,"Tap, Double Tap, Long Press","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera)",Rarely,Agree,No,A few minutes,Maybe,Android,Yes,Yes,Double tap,No
7/6/2025 18:58,"Yes, I'm interested",18–24,Male,Information Technology / Software,3–5 hours,No,Swipe (Left/Right/Up/Down),"Social Media (e.g., Instagram, TikTok)",Rarely,Agree,Yes,A few minutes,Yes,Android,Yes,Only for specific apps,,
7/6/2025 19:44,"Yes, I'm interested",25–34,Male,Information Technology / Software,3–5 hours,Not sure,"Tap, Double Tap, Swipe (Left/Right/Up/Down)","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera)",Sometimes,Agree,Yes,Still not comfortable,Yes,Not sure,Yes,Yes,,
7/6/2025 19:56,"Yes, I'm interested",18–24,Male,Information Technology / Software,3–5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Long Press, Drag","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Sometimes,Agree,No,A few minutes,Yes,Android,Yes,No,Advanced multi touching gesture,No
7/6/2025 21:21,"Yes, I'm interested",25–34,Male,Media / Design / Creative Technology,3–5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Air Gestures (without touching), Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Often,Agree,Yes,A few minutes,Maybe,Both equally,No,Only for specific apps,,
7/6/2025 21:22,"Yes, I'm interested",18–24,Female,Student (Any field),Less than 1 hour,Not sure,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Voice-activated gestures","Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Sometimes,Agree,Yes,A few minutes,Yes,iOS,Yes,No,,
7/7/2025 17:02,"Yes, I'm interested",18–24,Male,Information Technology / Software,More than 5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Pinch-to-Zoom, Long Press, Drag, Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Sometimes,Agree,No,Instantly,Yes,Not sure,Yes,No,,
7/7/2025 17:14,"Yes, I'm interested",25–34,Female,Information Technology / Software,More than 5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Long Press","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Sometimes,Agree,No,A few hours,Maybe,Both equally,Yes,Only for specific apps,Tap,No
7/7/2025 18:20,"Yes, I'm interested",25–34,Male,Information Technology / Software,More than 5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Long Press","Social Media (e.g., Instagram, TikTok), Navigation (e.g., Google Maps)",Sometimes,Agree,Yes,A few hours,Yes,iOS,Yes,Yes,,
7/7/2025 19:44,"Yes, I'm interested",18–24,Female,Education / Research,1–3 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Air Gestures (without touching), Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Always,Strongly Agree,Yes,Instantly,Yes,Both equally,Yes,Yes,,
7/7/2025 19:45,"Yes, I'm interested",25–34,Male,Media / Design / Creative Technology,3–5 hours,Not sure,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Air Gestures (without touching), Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Often,Agree,Yes,A few minutes,Maybe,iOS,Yes,Only for specific apps,,
7/8/2025 1:45,"Yes, I'm interested",25–34,Male,Information Technology / Software,3–5 hours,Not sure,"Tap, Swipe (Left/Right/Up/Down), Pinch-to-Zoom, Long Press, Drag","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Sometimes,Agree,Yes,A few days,Yes,Both equally,Yes,No,,
7/10/2025 10:03,"Yes, I'm interested",25–34,Male,Media / Design / Creative Technology,More than 5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Long Press, Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Often,Agree,Yes,A few minutes,Maybe,Android,Yes,Only for specific apps,,
7/10/2025 10:05,"Yes, I'm interested",25–34,Female,Healthcare / Medical Technology,3–5 hours,Not sure,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Air Gestures (without touching), Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Often,Agree,Yes,A few hours,Maybe,iOS,Yes,Only for specific apps,,
7/10/2025 10:06,"Yes, I'm interested",18–24,Female,Student (Any field),1–3 hours,Not sure,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Long Press, Air Gestures (without touching), Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera)",Always,Strongly Agree,Yes,A few minutes,Yes,Android,Yes,Yes,,
7/10/2025 10:07,"Yes, I'm interested",25–34,Female,Media / Design / Creative Technology,3–5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Long Press, Air Gestures (without touching), Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Often,Agree,Yes,Instantly,Yes,Both equally,Yes,Only for specific apps,,
7/10/2025 11:22,"Yes, I'm interested",18–24,Male,Information Technology / Software,More than 5 hours,Not sure,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Long Press, Drag, Air Gestures (without touching)","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Sometimes,Agree,No,A few minutes,Yes,Both equally,Yes,Yes,,
7/11/2025 8:37,"Yes, I'm interested",35–44,Male,Healthcare / Medical Technology,1–3 hours,Not sure,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Long Press","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Often,Agree,Yes,A few hours,Maybe,Android,Yes,Only for specific apps,,
7/11/2025 19:01,"Yes, I'm interested",18–24,Male,Information Technology / Software,3–5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Long Press, Drag, Air Gestures (without touching)","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera)",Sometimes,Strongly Agree,No,Instantly,Yes,Android,Yes,No,,
7/11/2025 19:07,"Yes, I'm interested",18–24,Male,Information Technology / Software,More than 5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Pinch-to-Zoom, Long Press, Drag, Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Sometimes,Strongly Agree,Yes,Instantly,Yes,iOS,Yes,Yes,,
7/11/2025 19:08,"Yes, I'm interested",25–34,Female,Education / Research,More than 5 hours,Yes,"Double Tap, Pinch-to-Zoom, Long Press, Air Gestures (without touching)","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera)",Sometimes,Strongly Agree,Yes,A few hours,Yes,iOS,Yes,Yes,,
7/11/2025 19:10,"Yes, I'm interested",25–34,Male,Information Technology / Software,More than 5 hours,Yes,"Tap, Double Tap, Long Press, Drag","Utility Apps (e.g., Gallery, Camera)",Sometimes,Strongly Agree,No,Instantly,Yes,iOS,Yes,Only for specific apps,,
7/11/2025 19:11,"Yes, I'm interested",45 and above,Female,Healthcare / Medical Technology,1–3 hours,Yes,"Tap, Double Tap, Long Press","Utility Apps (e.g., Gallery, Camera)",Sometimes,Agree,No,A few minutes,Yes,Android,Yes,Yes,,
7/12/2025 12:51,"Yes, I'm interested",18–24,Male,Information Technology / Software,3–5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Long Press","Social Media (e.g., Instagram, TikTok)",Rarely,Agree,No,A few minutes,Yes,iOS,No,Yes,Double tap,No
7/12/2025 12:52,"Yes, I'm interested",18–24,Female,Healthcare / Medical Technology,3–5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down)","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Rarely,Agree,No,A few minutes,Yes,iOS,Yes,Yes,Swipe,No
7/12/2025 12:55,"Yes, I'm interested",25–34,Male,Education / Research,1–3 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Pinch-to-Zoom","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera)",Rarely,Agree,No,A few minutes,Yes,iOS,Yes,Yes,Long press,No
7/12/2025 13:00,"Yes, I'm interested",25–34,Male,Information Technology / Software,1–3 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Pinch-to-Zoom, Long Press, Drag, Air Gestures (without touching)","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera)",Sometimes,Agree,No,Instantly,Yes,Android,Yes,Yes,,
7/12/2025 13:01,No,,,,,,,,,,,,,,,,,
7/12/2025 13:08,"Yes, I'm interested",18–24,Male,Student (Any field),3–5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Long Press, Air Gestures (without touching), Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Often,Agree,Yes,A few minutes,Yes,iOS,Yes,Only for specific apps,,
7/12/2025 13:09,"Yes, I'm interested",18–24,Female,Education / Research,1–3 hours,Not sure,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Air Gestures (without touching), Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Always,Agree,Yes,Instantly,Yes,Android,Yes,Only for specific apps,,
7/12/2025 13:10,"Yes, I'm interested",25–34,Male,Information Technology / Software,1–3 hours,Yes,"Tap, Swipe (Left/Right/Up/Down), Long Press, Drag","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera)",Rarely,Strongly Agree,No,A few minutes,Yes,Android,Yes,No,Long Press,No
7/12/2025 13:13,"Yes, I'm interested",18–24,Male,Media / Design / Creative Technology,3–5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down)","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera)",Often,Agree,No,A few minutes,Yes,iOS,Yes,No,Double tap,No
7/12/2025 13:19,"Yes, I'm interested",25–34,Female,Education / Research,3–5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Pinch-to-Zoom, Long Press, Drag, Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Sometimes,Strongly Agree,No,A few minutes,Yes,Both equally,Yes,Only for specific apps,,
7/12/2025 13:23,"Yes, I'm interested",25–34,Male,Information Technology / Software,More than 5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Long Press, Drag","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Sometimes,Strongly Agree,No,A few minutes,Yes,Not sure,Yes,Yes,,
7/12/2025 14:13,"Yes, I'm interested",18–24,Female,Information Technology / Software,More than 5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Pinch-to-Zoom, Long Press, Drag","Social Media (e.g., Instagram, TikTok), Navigation (e.g., Google Maps)",Often,Agree,Yes,Instantly,Yes,Not sure,Yes,No,,
7/12/2025 14:55,"Yes, I'm interested",18–24,Prefer not to say,Student (Any field),More than 5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Pinch-to-Zoom, Long Press, Drag","Social Media (e.g., Instagram, TikTok), Games",Often,Agree,Yes,A few hours,No,Android,No,Yes,Nothing ,
7/12/2025 14:56,"Yes, I'm interested",25–34,Male,Student (Any field),1–3 hours,No,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Pinch-to-Zoom, Long Press, Drag","Social Media (e.g., Instagram, TikTok)",Sometimes,Agree,No,Instantly,Yes,iOS,Yes,Yes,,
7/12/2025 15:35,"Yes, I'm interested",18–24,Male,Media / Design / Creative Technology,3–5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down)","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera)",Sometimes,Strongly Agree,Yes,Instantly,Yes,Android,Yes,Yes,,
7/12/2025 15:36,"Yes, I'm interested",25–34,Female,Education / Research,1–3 hours,Yes,"Tap, Double Tap, Long Press, Drag","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera)",Often,Agree,Yes,Instantly,Yes,iOS,Yes,Yes,,
7/12/2025 15:37,"Yes, I'm interested",25–34,Male,Information Technology / Software,More than 5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Pinch-to-Zoom, Long Press, Drag, Air Gestures (without touching), Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera)",Always,Strongly Agree,Yes,Instantly,Yes,iOS,Yes,Yes,,
7/12/2025 15:38,"Yes, I'm interested",25–34,Male,Media / Design / Creative Technology,3–5 hours,Yes,"Tap, Double Tap, Long Press, Drag","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera)",Often,Agree,Yes,Instantly,Yes,Android,Yes,Yes,,
