Timestamp,Are you interested in contributing your thoughts on gesture-based interaction in mobile applications?,Age group,Gender,Industry,How many hours per day do you use a smartphone?,Have you used gesture-based features on your mobile device?,Which gesture types are you familiar with?  ,Which mobile apps do you frequently use that involve gestures?  ,"On average, how frequently do you use symbolic gestures to perform actions on your phone?  ",Do you think gestures make mobile apps easier to use?  ,Have you ever disabled gesture features due to confusion or difficulty?  ,How long did it take you to learn using gesture-based controls when first introduced?  ,"Would you like to see more advanced gesture-based controls in future apps (e.g., 3D gestures, eye tracking)?  ",What platform do you think supports gestures best?  ,Do you think AI should personalize gesture-based features for each user?  ,Would you be open to gesture-only apps with no visible buttons?,What gesture feature would you like to see in future mobile apps?  ,Any additional comments or suggestions about gesture-based interaction?
7/12/2025 15:39,"Yes, I'm interested",18–24,Male,Student (Any field),More than 5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Pinch-to-Zoom, Long Press, Drag, Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Often,Strongly Agree,No,Instantly,Yes,iOS,Yes,Yes,,
7/12/2025 15:55,"Yes, I'm interested",18–24,Male,Student (Any field),More than 5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Pinch-to-Zoom, Long Press, Drag, Air Gestures (without touching), Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Rarely,Agree,Yes,Instantly,Yes,Both equally,Yes,Only for specific apps,Air Gestures with context awareness that learns your personal gesture style over time and adjusts sensitivity based on  movement patterns.,No
7/12/2025 16:39,"Yes, I'm interested",18–24,Male,Information Technology / Software,More than 5 hours,Not sure,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Pinch-to-Zoom, Long Press, Drag","Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Always,Agree,Yes,A few minutes,Yes,iOS,Yes,Yes,,
7/12/2025 16:40,"Yes, I'm interested",25–34,Male,Media / Design / Creative Technology,1–3 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Often,Strongly Agree,Yes,A few minutes,Yes,iOS,Yes,Yes,,
7/12/2025 16:57,"Yes, I'm interested",25–34,Male,Student (Any field),More than 5 hours,Yes,Double Tap,Games,Rarely,Strongly Agree,Yes,A few hours,Yes,iOS,Yes,No,,
7/12/2025 17:05,"Yes, I'm interested",18–24,Male,Student (Any field),3–5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Pinch-to-Zoom, Long Press, Drag, Air Gestures (without touching), Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Often,Strongly Agree,Yes,A few minutes,Yes,Not sure,Yes,No,,
7/12/2025 17:18,"Yes, I'm interested",25–34,Male,Information Technology / Software,1–3 hours,Yes,"Tap, Double Tap, Long Press","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera)",Often,Agree,No,Instantly,Yes,Android,Yes,No,,
7/12/2025 17:21,"Yes, I'm interested",25–34,Female,Student (Any field),1–3 hours,No,"Swipe (Left/Right/Up/Down), Pinch-to-Zoom, Long Press","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Sometimes,Neutral,Yes,A few minutes,Yes,Android,Yes,Yes,,
7/12/2025 17:31,"Yes, I'm interested",25–34,Male,Information Technology / Software,1–3 hours,Yes,"Tap, Double Tap, Long Press, Drag","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera)",Never,Strongly Agree,Yes,Instantly,Yes,iOS,Yes,Only for specific apps,,
7/12/2025 17:45,"Yes, I'm interested",18–24,Male,Information Technology / Software,More than 5 hours,Yes,"Tap, Double Tap, Long Press, Drag, Air Gestures (without touching)","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera)",Often,Strongly Agree,Yes,Instantly,Yes,iOS,Yes,No,,
7/12/2025 18:08,"Yes, I'm interested",18–24,Male,Information Technology / Software,3–5 hours,Yes,"Tap, Double Tap, Long Press, Drag","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera)",Always,Strongly Agree,Yes,Instantly,Yes,Android,Yes,No,,
7/12/2025 18:42,"Yes, I'm interested",25–34,Male,Information Technology / Software,3–5 hours,Yes,"Tap, Double Tap, Long Press, Drag","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera)",Always,Agree,No,Instantly,Yes,Android,Yes,Only for specific apps,,
7/12/2025 19:22,"Yes, I'm interested",18–24,Female,Managment ,1–3 hours,No,Tap,"Social Media (e.g., Instagram, TikTok)",Sometimes,Agree,Yes,A few minutes,Yes,Both equally,Yes,Yes,,
7/12/2025 20:06,"Yes, I'm interested",18–24,Male,Student (Any field),1–3 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Long Press, Air Gestures (without touching), Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Often,Strongly Agree,Yes,A few hours,Yes,Android,Yes,Only for specific apps,,
7/13/2025 8:07,"Yes, I'm interested",25–34,Male,Information Technology / Software,More than 5 hours,Yes,"Tap, Double Tap, Pinch-to-Zoom, Long Press, Drag","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera)",Often,Strongly Agree,No,Instantly,Maybe,iOS,Yes,Yes,,
7/13/2025 8:08,"Yes, I'm interested",35–44,Male,Healthcare / Medical Technology,1–3 hours,Yes,"Tap, Double Tap, Long Press","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Always,Agree,No,Instantly,Yes,Android,Yes,Only for specific apps,,
7/13/2025 8:09,"Yes, I'm interested",35–44,Male,Information Technology / Software,3–5 hours,Yes,"Tap, Double Tap","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Always,Strongly Agree,No,Instantly,Yes,Android,Yes,Yes,,
7/13/2025 8:09,"Yes, I'm interested",35–44,Female,Education / Research,3–5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Long Press, Drag, Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera)",Always,Strongly Agree,No,Instantly,Yes,Android,Yes,No,,
7/13/2025 8:10,"Yes, I'm interested",35–44,Male,Information Technology / Software,More than 5 hours,Yes,"Tap, Double Tap, Drag, Air Gestures (without touching), Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera)",Never,Strongly Agree,Yes,Instantly,Yes,Android,Yes,Only for specific apps,,
7/13/2025 8:11,"Yes, I'm interested",35–44,Male,Information Technology / Software,3–5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Pinch-to-Zoom, Long Press, Drag, Air Gestures (without touching), Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Always,Strongly Agree,No,Instantly,Yes,Android,Yes,Yes,,
7/13/2025 8:11,"Yes, I'm interested",35–44,Male,Healthcare / Medical Technology,1–3 hours,Yes,"Tap, Double Tap, Drag","Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Always,Strongly Agree,No,Instantly,Yes,Android,Yes,Yes,,
7/13/2025 8:12,"Yes, I'm interested",35–44,Male,Information Technology / Software,3–5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Drag, Air Gestures (without touching)","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera)",Always,Strongly Agree,Yes,Instantly,Yes,Android,Yes,No,,
7/13/2025 8:13,"Yes, I'm interested",45 and above,Male,Information Technology / Software,More than 5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Pinch-to-Zoom, Long Press, Drag","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Always,Strongly Agree,No,Instantly,Yes,Android,Yes,Yes,,
7/13/2025 8:13,"Yes, I'm interested",45 and above,Female,Education / Research,More than 5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Drag","Social Media (e.g., Instagram, TikTok)",Always,Strongly Agree,No,Instantly,Yes,Android,Yes,Yes,,
7/13/2025 8:14,"Yes, I'm interested",45 and above,Male,Media / Design / Creative Technology,Less than 1 hour,Yes,"Tap, Double Tap, Drag","Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Always,Strongly Agree,No,Instantly,Yes,Android,Yes,No,,
7/13/2025 16:00,"Yes, I'm interested",18–24,Male,Student (Any field),3–5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Pinch-to-Zoom, Long Press, Drag, Air Gestures (without touching), Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Often,Agree,Yes,Instantly,Yes,Android,Yes,Yes,,
7/13/2025 16:01,"Yes, I'm interested",25–34,Female,Military,1–3 hours,Not sure,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Air Gestures (without touching), Voice-activated gestures","Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Often,Agree,Yes,A few minutes,Yes,iOS,Yes,Only for specific apps,,
7/13/2025 16:02,"Yes, I'm interested",25–34,Female,Education / Research,3–5 hours,Not sure,"Double Tap, Swipe (Left/Right/Up/Down), Drag, Air Gestures (without touching), Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Always,Agree,Yes,A few hours,Yes,iOS,Yes,Only for specific apps,,
7/13/2025 16:03,"Yes, I'm interested",18–24,Male,Healthcare / Medical Technology,3–5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Long Press, Drag, Air Gestures (without touching), Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Always,Agree,Yes,A few hours,Yes,Android,Yes,Yes,,
7/13/2025 16:03,"Yes, I'm interested",18–24,Female,Media / Design / Creative Technology,More than 5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Pinch-to-Zoom, Long Press, Drag, Air Gestures (without touching), Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Always,Strongly Agree,Yes,Instantly,Yes,Both equally,Yes,Only for specific apps,,
7/13/2025 16:04,"Yes, I'm interested",18–24,Female,Student (Any field),3–5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Long Press, Air Gestures (without touching), Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera)",Often,Agree,Yes,A few hours,Yes,iOS,Yes,Yes,,
7/13/2025 16:05,"Yes, I'm interested",25–34,Male,Information Technology / Software,More than 5 hours,Yes,"Tap, Swipe (Left/Right/Up/Down), Long Press, Air Gestures (without touching)","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Sometimes,Strongly Agree,Yes,Instantly,Yes,iOS,Yes,Yes,,
7/13/2025 16:05,No,,,,,,,,,,,,,,,,,
7/13/2025 16:05,"Yes, I'm interested",18–24,Female,Healthcare / Medical Technology,1–3 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Long Press, Air Gestures (without touching), Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Often,Strongly Agree,Yes,A few minutes,Yes,iOS,Yes,Only for specific apps,,
7/13/2025 16:06,"Yes, I'm interested",35–44,Male,Education / Research,Less than 1 hour,Yes,"Tap, Swipe (Left/Right/Up/Down), Drag, Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Sometimes,Strongly Agree,Yes,Instantly,Yes,Both equally,Yes,Yes,,
7/13/2025 16:06,"Yes, I'm interested",25–34,Male,Information Technology / Software,More than 5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Pinch-to-Zoom, Long Press, Drag, Air Gestures (without touching), Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Always,Agree,Yes,A few minutes,Maybe,Android,Yes,Yes,,
7/13/2025 16:07,"Yes, I'm interested",35–44,Male,Healthcare / Medical Technology,More than 5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Pinch-to-Zoom, Drag, Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera)",Rarely,Agree,Yes,A few minutes,Yes,Android,Yes,No,,
7/13/2025 16:07,"Yes, I'm interested",Under 18,Female,Student (Any field),1–3 hours,Not sure,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Long Press, Drag, Air Gestures (without touching)","Games, Utility Apps (e.g., Gallery, Camera)",Often,Agree,Yes,A few minutes,Yes,Android,Yes,Only for specific apps,,
7/13/2025 16:08,"Yes, I'm interested",Under 18,Male,Student (Any field),3–5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Drag, Air Gestures (without touching), Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Always,Agree,Yes,Instantly,Maybe,Both equally,Yes,Yes,,
7/13/2025 16:09,"Yes, I'm interested",25–34,Male,Media / Design / Creative Technology,1–3 hours,Yes,"Double Tap, Pinch-to-Zoom, Long Press","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera)",Rarely,Agree,Yes,Instantly,Yes,Both equally,Yes,Yes,,
7/13/2025 16:09,"Yes, I'm interested",Under 18,Female,Student (Any field),1–3 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Pinch-to-Zoom, Air Gestures (without touching), Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera)",Always,Strongly Agree,Yes,A few minutes,Yes,Both equally,Yes,Yes,Eye based,It should be easy to identify
7/13/2025 16:09,"Yes, I'm interested",35–44,Male,Information Technology / Software,1–3 hours,Yes,"Tap, Double Tap, Pinch-to-Zoom, Drag, Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Rarely,Agree,Yes,A few minutes,Yes,iOS,Yes,Yes,,
7/13/2025 16:10,"Yes, I'm interested",25–34,Male,Media / Design / Creative Technology,Less than 1 hour,Yes,"Tap, Double Tap, Pinch-to-Zoom, Long Press, Drag, Air Gestures (without touching)","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Rarely,Strongly Agree,Yes,Instantly,Yes,iOS,Yes,Yes,,
7/13/2025 16:11,"Yes, I'm interested",Under 18,Male,Student (Any field),3–5 hours,Not sure,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Pinch-to-Zoom, Long Press, Air Gestures (without touching), Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera)",Always,Strongly Agree,Yes,A few minutes,Yes,iOS,Yes,Yes,,
7/13/2025 16:11,"Yes, I'm interested",25–34,Female,Media / Design / Creative Technology,1–3 hours,Yes,"Tap, Swipe (Left/Right/Up/Down), Long Press, Drag, Air Gestures (without touching)","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Never,Strongly Agree,Yes,A few hours,Yes,iOS,Yes,Yes,,
7/13/2025 16:12,"Yes, I'm interested",18–24,Female,Student (Any field),3–5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Pinch-to-Zoom, Air Gestures (without touching), Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Always,Agree,Yes,A few minutes,Yes,iOS,Yes,Yes,,
7/13/2025 16:16,"Yes, I'm interested",25–34,Female,Media / Design / Creative Technology,3–5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Long Press, Air Gestures (without touching), Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Often,Strongly Agree,Yes,A few minutes,Yes,Both equally,Yes,Only for specific apps,,
7/13/2025 16:21,"Yes, I'm interested",Under 18,Male,Student (Any field),1–3 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Air Gestures (without touching), Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Often,Neutral,Yes,Still not comfortable,Maybe,Android,Yes,Only for specific apps,,
7/13/2025 16:22,"Yes, I'm interested",Under 18,Female,Student (Any field),1–3 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Air Gestures (without touching), Voice-activated gestures","Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Always,Strongly Agree,Yes,A few minutes,Yes,Android,Yes,Yes,,
7/13/2025 16:23,"Yes, I'm interested",Under 18,Female,Student (Any field),3–5 hours,Not sure,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Air Gestures (without touching), Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Often,Agree,Yes,A few hours,Yes,Android,Yes,Yes,,
7/13/2025 16:23,"Yes, I'm interested",25–34,Male,Information Technology / Software,3–5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Drag","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Never,Agree,Yes,Instantly,No,Android,Yes,Yes,,
7/13/2025 16:23,"Yes, I'm interested",Under 18,Female,Student (Any field),1–3 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Air Gestures (without touching), Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera)",Often,Agree,Yes,A few minutes,Yes,Android,Yes,Yes,,
7/13/2025 16:24,"Yes, I'm interested",18–24,Male,Education / Research,3–5 hours,Yes,"Tap, Swipe (Left/Right/Up/Down), Pinch-to-Zoom, Long Press, Air Gestures (without touching)","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Sometimes,Strongly Agree,Yes,A few hours,Yes,iOS,Yes,Yes,,
7/13/2025 16:24,"Yes, I'm interested",25–34,Male,Information Technology / Software,More than 5 hours,Yes,"Tap, Pinch-to-Zoom, Long Press, Drag","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Never,Agree,Yes,A few minutes,Yes,iOS,Yes,No,,
7/13/2025 16:25,"Yes, I'm interested",25–34,Male,Information Technology / Software,1–3 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Pinch-to-Zoom, Long Press, Drag","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Never,Strongly Agree,Yes,Instantly,Yes,iOS,Yes,No,,
