Timestamp,Age:  ,Gender,Education Level,Occupation,Country of Residence:  ,Mobile Operating System(s) Used:  ,How many apps do you currently have installed on your smartphone?  ,How many hours per day do you typically use mobile apps? ,Which type of apps do you use most often? (Select up to 3)  ,Have you ever stopped using or deleted an app due to privacy concerns?  ,"If yes, what kind of data or permission made you uncomfortable?  ",How often do you read the privacy policy before installing a new app?,Have you ever denied an app permission it requested? ,Have you ever regretted sharing information with a mobile app?  ,"If yes, please briefly describe the situation",Have you ever been notified of a data breach or privacy incident related to an app you use? ,How familiar are you with app permissions and their functions?  ,Do you regularly review and update app permissions in your device settings? ,Do you use additional privacy/security features on your phone? (Select all that apply)  ,"Are you aware of privacy features or settings on your phone (e.g., location sharing, data access)?  ",Which permissions do you find most sensitive or invasive? (Select all that apply)  ,Do you think apps request more permissions than necessary?  ,"When installing a new app, how often do you check which permissions it requests?  ","If an app refuses to work without a certain permission, what do you do?  ","Have you ever faked or provided false data (e.g., fake name, fake email) to use an app?  ","How much do you trust the following types of apps with your personal data?
(Linear scale: 1 = Do not trust at all, 5 = Trust completely) [Social media (Facebook, Instagram, etc.)]","How much do you trust the following types of apps with your personal data?
(Linear scale: 1 = Do not trust at all, 5 = Trust completely) [Messaging (WhatsApp, Telegram, etc.)]","How much do you trust the following types of apps with your personal data?
(Linear scale: 1 = Do not trust at all, 5 = Trust completely) [Banking/Finance]","How much do you trust the following types of apps with your personal data?
(Linear scale: 1 = Do not trust at all, 5 = Trust completely) [Shopping/E-commerce]","How much do you trust the following types of apps with your personal data?
(Linear scale: 1 = Do not trust at all, 5 = Trust completely) [Health & Fitness]","How much do you trust the following types of apps with your personal data?
(Linear scale: 1 = Do not trust at all, 5 = Trust completely) [Government apps]",Would you allow more data access to an app if it offers more useful features?  ,Have you ever decided to use an app despite privacy concerns because it was popular or highly recommended?  ,Do you think your data privacy is protected by laws/regulations in your country?  ,I feel concerned about my privacy when using mobile apps.  ,I feel confident managing app permissions on my device. ,I believe most apps collect more data than necessary. ,I am willing to compromise some privacy for convenience or app features. ,I understand the risks of sharing personal information with apps. ,"I think app stores (e.g., Google Play, App Store) do enough to protect user privacy. ",I change my app usage habits if I hear about a privacy incident in the news. ,Please share any story or experience related to mobile app privacy that you think is important.  ,"In your opinion, what could app developers or companies do to better protect your privacy? ",Any other comments or suggestions about mobile app privacy? 
9/7/2025 23:42,18 - 24,Male,College/Undergraduate,Student,Sri Lanka,Android,20-Nov,More than 6 hours,"Social media, Games",I don't remember,,Rarely,"Yes, sometimes",Not Sure,,No,Moderately familiar,Rarely,"App lock/password, VPN",Yes,"Location, Camera, Microphone, Contacts, Calendar, SMS/Call logs, Photos/Media, Access to other apps",Sometimes,Sometimes,Uninstall or avoid using the app,"Yes, sometimes",2,3,4,2,2,3,No,Not Sure,Not Sure,Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,,,
10/7/2025 0:55,25 - 34,Female,College/Undergraduate,Student,Sri Lanka,Both,20-Nov,5 - 6 hours,"Social media, Messaging/Communication, Education",Yes,An e-commerce apps excessive offer notification messages and it's information collection after delivery. ,Rarely,"Yes, sometimes",Yes,When it asked my email I give an alternative email not my main email.,No,Slightly familiar,Sometimes,"App lock/password, Encrypted messaging apps",Not Sure,"Location, Camera, Contacts, Photos/Media, Device ID",Sometimes,Rarely,Seek more information about the permission,"No, never",4,4,4,2,1,4,Maybe,No,Not Sure,Strongly agree,Neutral,Disagree,Disagree,Strongly agree,Neutral,Agree,,,
10/7/2025 13:02,25 - 34,Female,College/Undergraduate,Student,Sri Lanka,Android,21 - 40,More than 6 hours,"Social media, Messaging/Communication, Finance/Banking, Education, Entertainment/Video/Music",No,,Sometimes,"Yes, sometimes",No,,Not Sure,Moderately familiar,Rarely,"App lock/password, Antivirus/security app, Encrypted messaging apps",Yes,"Location, Camera, Microphone, Photos/Media",Sometimes,Often,Grant the permission,"No, never",3,3,4,3,3,4,Maybe,"Yes, Sometimes",Yes,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,,,
10/7/2025 13:25,25 - 34,Female,College/Undergraduate,Student,Sri Lanka,Android,20-Nov,5 - 6 hours,"Social media, Messaging/Communication, Finance/Banking, Games, Entertainment/Video/Music",I don't remember,,Rarely,"Yes, sometimes",Not Sure,,Not Sure,Slightly familiar,Rarely,App lock/password,Not Sure,"Camera, Microphone, Contacts, SMS/Call logs, Photos/Media, Device ID, Access to other apps",Often,Sometimes,Seek more information about the permission,"Yes, sometimes",3,3,4,2,3,3,Maybe,"Yes, Often",Not Sure,Agree,Neutral,Agree,Neutral,Agree,Disagree,Neutral,,,
10/7/2025 13:38,18 - 24,Male,College/Undergraduate,Student,Sri Lanka,Android,10-Jun,3 - 4 hours,"Social media, Messaging/Communication",I don't remember,,Rarely,"Yes, Often",Not Sure,,Yes,Slightly familiar,Never,App lock/password,No,"Location, Camera, Microphone",Rarely,Always,Uninstall or avoid using the app,"Yes, sometimes",4,4,4,4,4,4,No,"Yes, Sometimes",Not Sure,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,
10/7/2025 13:42,18 - 24,Female,High school,Self-employed,Sri Lanka,iOS,21 - 40,More than 6 hours,"Social media, Messaging/Communication, Productivity/Work",Yes,,Never,"Yes, sometimes",Yes,,Yes,Slightly familiar,Rarely,"App lock/password, Encrypted messaging apps",Yes,"Camera, Microphone, Contacts, Photos/Media",Always,Sometimes,Grant the permission,"Yes, sometimes",1,1,2,2,2,3,No,"Yes, Sometimes",No,Agree,Neutral,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,,,
10/7/2025 13:53,18 - 24,Male,College/Undergraduate,Self-employed,Sri Lanka,Both,20-Nov,5 - 6 hours,"Social media, Messaging/Communication, Finance/Banking, Shopping/E-commerce, Productivity/Work, Education, News, Entertainment/Video/Music",Yes,"Files,Location",Sometimes,"Yes, Often",Not Sure,,Not Sure,Moderately familiar,Sometimes,"App lock/password, VPN, Privacy browser, Encrypted messaging apps",Yes,"Location, Camera, Microphone, Contacts, SMS/Call logs, Photos/Media, Device ID",Sometimes,Often,Seek more information about the permission,Prefer not to say,4,4,3,3,3,3,Maybe,"Yes, Sometimes",Not Sure,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Strongly agree,Always enable 2 Step verification ,Put 2 Step Verification ,
10/7/2025 13:55,25 - 34,Male,College/Undergraduate,Student,Sri Lanka,Android,21 - 40,5 - 6 hours,"Social media, Messaging/Communication, Finance/Banking, Shopping/E-commerce, Games, Entertainment/Video/Music",No,,Rarely,"Yes, Often",No,,Yes,Slightly familiar,Rarely,"App lock/password, VPN",Yes,"Location, Camera, Microphone, Contacts, Calendar",Never,Rarely,Grant the permission,"No, never",1,3,1,2,1,3,Yes,"Yes, Often",Yes,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly disagree,,,
10/7/2025 13:58,25 - 34,Male,College/Undergraduate,Student,Sri Lanka,Android,10-Jun,More than 6 hours,"Social media, Messaging/Communication",I don't remember,,Sometimes,"Yes, Often",Not Sure,,Not Sure,Not familiar at all,Sometimes,App lock/password,Yes,"Camera, Microphone, Device ID",Sometimes,Sometimes,Seek more information about the permission,"Yes, sometimes",3,4,4,4,3,4,Maybe,Not Sure,Not Sure,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,,,
10/7/2025 14:16,18 - 24,Male,College/Undergraduate,Student,Sri Lanka,Android,10-Jun,1 - 2 hours,"Social media, Messaging/Communication, Games, Education, Entertainment/Video/Music",I don't remember,,Rarely,Not sure,Not Sure,,Not Sure,Moderately familiar,Often,"App lock/password, Antivirus/security app",Yes,"Location, Camera, Microphone, Photos/Media, Device ID",Sometimes,Sometimes,Look for alternative apps,"No, never",1,5,3,5,5,5,Maybe,"Yes, Sometimes",Not Sure,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Neutral,Agree,,,
10/7/2025 14:25,18 - 24,Male,College/Undergraduate,Student,Sri Lanka,Android,20-Nov,More than 6 hours,"Social media, Messaging/Communication, Finance/Banking, Entertainment/Video/Music",No,,Rarely,Not sure,Not Sure,,No,Very familiar,Never,Encrypted messaging apps,Yes,"Location, Camera, Microphone, Photos/Media, Access to other apps",Never,Always,Uninstall or avoid using the app,"No, never",4,4,4,3,3,3,No,No,Not Sure,Neutral,Agree,Disagree,Neutral,Agree,Agree,Agree,,,
10/7/2025 14:48,25 - 34,Female,College/Undergraduate,Student,Sri Lanka,Android,20-Nov,More than 6 hours,"Social media, Messaging/Communication, Education",No,,Sometimes,"Yes, sometimes",No,,No,Not familiar at all,Sometimes,None,Yes,"Location, Camera, Microphone, Contacts, Photos/Media",Sometimes,Sometimes,Seek more information about the permission,"No, never",5,5,5,5,5,5,No,No,Not Sure,Strongly agree,Agree,Agree,Neutral,Strongly agree,Agree,Agree,,,
10/7/2025 16:34,18 - 24,Female,College/Undergraduate,Employed,Sri Lanka,iOS,20-Nov,5 - 6 hours,Social media,I don't remember,,Sometimes,"Yes, sometimes",Not Sure,,Yes,Slightly familiar,Sometimes,App lock/password,Yes,"Location, Camera, Microphone, Contacts, Calendar, SMS/Call logs, Photos/Media, Device ID, Access to other apps",Sometimes,Always,Seek more information about the permission,"Yes, sometimes",5,5,5,5,5,5,Maybe,"Yes, Sometimes",Not Sure,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Agree,,,
10/7/2025 18:33,35 - 44,Male,College/Undergraduate,Employed,Sri Lanka,Android,21 - 40,5 - 6 hours,"Social media, Messaging/Communication, Education",Yes,Permission to view private data,Often,"Yes, sometimes",Not Sure,,Yes,Slightly familiar,Sometimes,"App lock/password, VPN",Yes,"Camera, Microphone, Photos/Media",Always,Often,Look for alternative apps,"No, never",2,2,1,2,3,3,Yes,"Yes, Sometimes",No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,
10/7/2025 21:28,25 - 34,Female,College/Undergraduate,Employed,Sri Lanka,Android,More than 40,3 - 4 hours,"Social media, Messaging/Communication, Shopping/E-commerce, Education, Entertainment/Video/Music",I don't remember,,Rarely,"Yes, sometimes",No,,No,Moderately familiar,Rarely,App lock/password,Yes,"Camera, Microphone, Contacts, SMS/Call logs, Photos/Media",Sometimes,Often,Seek more information about the permission,"No, never",3,3,3,4,4,4,Yes,No,Not Sure,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,,,
10/7/2025 21:29,18 - 24,Female,College/Undergraduate,Student,Sri Lanka,iOS,20-Nov,5 - 6 hours,"Social media, Messaging/Communication, Finance/Banking, Shopping/E-commerce, Health & Fitness, Education, News, Entertainment/Video/Music",No,,Sometimes,"Yes, Often",Not Sure,,No,Slightly familiar,Rarely,"App lock/password, VPN, Antivirus/security app",Yes,"Location, Camera, Microphone, Contacts, Calendar, SMS/Call logs, Photos/Media, Device ID, Access to other apps",Sometimes,Sometimes,Seek more information about the permission,"Yes, sometimes",3,3,4,4,4,4,Yes,"Yes, Sometimes",Yes,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Encryption of confidential data ,Encrypt those data,Display them in open 
10/7/2025 21:31,18 - 24,Female,College/Undergraduate,Student,Sri Lanka,iOS,21 - 40,5 - 6 hours,"Social media, Messaging/Communication, Shopping/E-commerce",Yes,,Never,"Yes, sometimes",Yes,,Not Sure,Moderately familiar,Rarely,App lock/password,Not Sure,"Location, Camera, SMS/Call logs, Photos/Media, Device ID",Rarely,Sometimes,Seek more information about the permission,"Yes, often",2,3,2,3,4,3,Maybe,Not Sure,Yes,Strongly agree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,,,
10/7/2025 21:31,18 - 24,Male,College/Undergraduate,Student,Sri Lanka,Android,21 - 40,More than 6 hours,"Social media, Messaging/Communication, Finance/Banking",I don't remember,,Rarely,"Yes, sometimes",Not Sure,,Not Sure,Moderately familiar,Rarely,App lock/password,Yes,"Camera, Microphone, Photos/Media",Sometimes,Sometimes,Grant the permission,"Yes, sometimes",3,3,4,3,3,3,No,Not Sure,Yes,Agree,Agree,Agree,Disagree,Strongly agree,Neutral,Agree,,,
10/7/2025 21:32,18 - 24,Female,College/Undergraduate,Student,Sri Lanka,iOS,21 - 40,More than 6 hours,"Social media, Messaging/Communication, Entertainment/Video/Music",I don't remember,,Rarely,"Yes, sometimes",Not Sure,,No,Moderately familiar,Sometimes,VPN,Yes,"Location, Photos/Media, Device ID",Sometimes,Sometimes,Seek more information about the permission,"Yes, sometimes",3,4,4,4,4,4,No,No,Not Sure,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,,,
10/7/2025 21:32,18 - 24,Male,College/Undergraduate,Employed,Sri Lanka,Both,20-Nov,More than 6 hours,"Social media, Messaging/Communication, Entertainment/Video/Music",Yes,Privacy details,Sometimes,"Yes, sometimes",No,,Yes,Moderately familiar,Rarely,"App lock/password, Privacy browser",Yes,"Camera, Microphone, Photos/Media, Device ID",Often,Sometimes,Uninstall or avoid using the app,"Yes, sometimes",4,4,3,2,3,3,Maybe,"Yes, Sometimes",Not Sure,Agree,Neutral,Agree,Neutral,Strongly agree,Neutral,Agree,,,
10/7/2025 21:36,18 - 24,Female,College/Undergraduate,Employed,Sri Lanka,Android,20-Nov,3 - 4 hours,"Social media, Messaging/Communication, Entertainment/Video/Music",Yes,"Video Makers,games",Rarely,"Yes, sometimes",Yes,"After installing, it asked for permission for my files, and i check the rate and it was low,,so i deleted ",No,Slightly familiar,Never,"Antivirus/security app, Privacy browser",Not Sure,"Camera, SMS/Call logs, Photos/Media, Device ID",Rarely,Sometimes,Seek more information about the permission,"Yes, often",4,5,5,4,3,3,Yes,"Yes, Often",Yes,Strongly agree,Neutral,Neutral,Agree,Strongly agree,Neutral,Agree,,,
10/7/2025 21:37,18 - 24,Female,College/Undergraduate,Student,Sri Lanka,Android,More than 40,More than 6 hours,Social media,Yes,Storage,Often,"Yes, Often",Yes,,No,Slightly familiar,Rarely,"App lock/password, VPN, Antivirus/security app, Privacy browser, Encrypted messaging apps",Yes,"Location, Camera, Microphone, Contacts, SMS/Call logs, Photos/Media, Device ID, Access to other apps",Often,Often,Uninstall or avoid using the app,"Yes, often",2,2,3,2,2,1,No,"Yes, Often",Yes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
10/7/2025 21:39,25 - 34,Male,College/Undergraduate,Employed,Sri Lanka,Android,20-Nov,More than 6 hours,"Social media, Education, Entertainment/Video/Music",I don't remember,,Rarely,"Yes, Often",Not Sure,,Not Sure,Moderately familiar,Sometimes,App lock/password,Yes,"Location, Camera, Microphone, Device ID",Sometimes,Rarely,Look for alternative apps,"Yes, sometimes",3,3,3,3,3,3,Maybe,"Yes, Sometimes",Not Sure,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,,,
10/7/2025 21:39,18 - 24,Female,College/Undergraduate,Student,Sri Lanka,Android,10-Jun,3 - 4 hours,"Social media, Messaging/Communication, Finance/Banking, Shopping/E-commerce, Productivity/Work, Education, News, Entertainment/Video/Music",No,,Sometimes,"Yes, sometimes",Not Sure,,Yes,Slightly familiar,Sometimes,App lock/password,Yes,"Location, Camera, Microphone, Contacts, Calendar, SMS/Call logs, Photos/Media, Device ID, Access to other apps",Always,Rarely,Uninstall or avoid using the app,"No, never",1,1,1,1,1,1,Yes,"Yes, Sometimes",No,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Absolutely â€” here's a real and important story that highlights the importance of mobile app privacy.,"Great question â€” and an important one. In my opinion, app developers and companies can do a lot more to protect user privacy.",Yes â€” here are a few final comments and suggestions about mobile app privacy that are often overlooked but critical for both users and developers:
